Route,Latitude,Longitude,Heading,Time
11,43.697632,-79.396965,216,1518751086851
14,43.70475,-79.464401,216,1518751088694
14,43.710518,-79.444466,216,1518751088694
17,43.756985,-79.288651,344,1518751089425
21,43.789368,-79.269547,160,1518751086679
21,43.828133,-79.287148,359,1518751086679
22,43.6840819,-79.323181,183,1518751086678
24,43.816616,-79.34153,216,1518751087051
24,43.812302,-79.339767,346,1518751087051
25,43.680099,-79.344734,110,1518751089909
25,43.703415,-79.3514019,43,1518751088909
25,43.728867,-79.341049,349,1518751088909
25,43.683651,-79.346703,164,1518751089909
25,43.782501,-79.352386,173,1518751088909
25,43.759251,-79.347031,359,1518751089909
25,43.811783,-79.357765,72,1518751086909
29,43.714249,-79.454918,171,1518751092012
29,43.638966,-79.427437,164,1518751087012
29,43.670799,-79.570396,216,1518751088012
29,43.646015,-79.43013,165,1518751092012
29,43.66925,-79.439316,343,1518751087012
32,43.699749,-79.436569,13,1518751088255
32,43.6922,-79.464714,245,1518751088255
32,43.692833,-79.463486,235,1518751088255
32,43.698868,-79.435867,252,1518751088255
32,43.698582,-79.437202,72,1518751087255
32,43.699615,-79.436531,41,1518751087255
32,43.695366,-79.451485,77,1518751088255
32,43.684032,-79.500465,82,1518751091255
34,43.7089,-79.388153,255,1518751086772
34,43.711552,-79.37532,255,1518751087772
34,43.727749,-79.328163,130,1518751087772
34,43.708851,-79.388435,255,1518751086772
34,43.7224999,-79.332184,69,1518751087772
34,43.707249,-79.395386,75,1518751087772
34,43.706749,-79.398636,76,1518751086772
34,43.724751,-79.301315,76,1518751089772
34,43.7069509,-79.3980179,252,1518751087772
34,43.708717,-79.389069,255,1518751087772
34,43.714649,-79.359467,67,1518751088772
35,43.669815,-79.49308,163,1518751086782
35,43.664783,-79.490753,344,1518751091782
35,43.715199,-79.507263,169,1518751090782
35,43.690948,-79.500687,349,1518751091782
36,43.7458,-79.531998,-4,1518751091902
37,43.674034,-79.536453,162,1518751086155
37,43.645016,-79.52475,51,1518751085155
38,43.783585,-79.20063,72,1518751072733
38,43.787182,-79.139885,163,1518751076733
39,43.813168,-79.242783,253,1518751091007
39,43.78175,-79.406998,253,1518751105007
39,43.782349,-79.4037479,73,1518751105007
39,43.812134,-79.226013,252,1518751090007
39,43.796982,-79.315552,231,1518751088007
39,43.803932,-79.286064,253,1518751104007
39,43.797199,-79.313568,76,1518751103007
39,43.780384,-79.414833,340,1518751107007
39,43.821083,-79.201569,163,1518751094007
39,43.7938,-79.238998,216,1518751097007
39,43.795284,-79.342819,265,1518751104007
39,43.792534,-79.354965,73,1518751106007
39,43.8055499,-79.277496,43,1518751107007
40,43.665565,-79.479836,92,1518751104881
40,43.664433,-79.458633,302,1518751104881
41,43.731716,-79.483315,171,1518751096833
41,43.764984,-79.501213,353,1518751103833
41,43.679035,-79.474251,144,1518751098833
41,43.765598,-79.50132,11,1518751103833
41,43.693584,-79.474548,351,1518751096833
41,43.736916,-79.484413,350,1518751096833
41,43.655418,-79.459564,216,1518751106833
42,43.818115,-79.271751,254,1518751095350
42,43.815533,-79.282333,82,1518751087350
42,43.7808149,-79.41497,183,1518751103350
42,43.805283,-79.326164,252,1518751101350
42,43.80035,-79.361084,137,1518751103350
42,43.79435,-79.384903,253,1518751086350
42,43.737183,-79.452232,-4,1518751092350
43,43.82515,-79.300453,58,1518751105355
43,43.76635,-79.280998,355,1518751088355
43,43.7308499,-79.274284,-4,1518751098355
43,43.818916,-79.302963,253,1518751088355
43,43.732182,-79.263664,-4,1518751097355
43,43.732449,-79.266136,140,1518751104355
43,43.788784,-79.290833,163,1518751089355
43,43.775032,-79.263046,344,1518751089355
43,43.751099,-79.275352,349,1518751102355
43,43.752201,-79.27597,165,1518751097355
43,43.789333,-79.290863,343,1518751090355
44,43.628151,-79.5297159,163,1518751094143
44,43.59425,-79.516785,344,1518751086143
44,43.620419,-79.5263669,345,1518751102143
45,43.739117,-79.579918,340,1518751079064
45,43.760616,-79.590065,-4,1518751078064
45,43.685467,-79.554497,341,1518751077064
45,43.723633,-79.572334,341,1518751078064
45,43.640335,-79.540436,-4,1518751083064
45,43.638767,-79.534767,226,1518751078064
45,43.638634,-79.534683,216,1518751079064
45,43.698898,-79.560867,161,1518751079064
45,43.738766,-79.579964,160,1518751083064
46,43.687168,-79.568787,343,1518751108994
46,43.662151,-79.544113,-4,1518751098994
46,43.637833,-79.535568,43,1518751106994
46,43.756516,-79.608131,115,1518751091994
46,43.683498,-79.567383,162,1518751091994
47,43.659332,-79.44313,161,1518751090043
47,43.640915,-79.436897,165,1518751091043
47,43.7116169,-79.466713,168,1518751106043
47,43.675785,-79.450714,334,1518751097043
47,43.660435,-79.4434969,344,1518751096043
47,43.728298,-79.4534,70,1518751107043
49,43.6382679,-79.535004,41,1518751083682
49,43.612984,-79.549118,-4,1518751077682
50,43.6476169,-79.52623,301,1518751084111
51,43.793098,-79.368599,351,1518751100818
51,43.709915,-79.382385,74,1518751105818
52,43.715515,-79.44455,279,1518751109646
52,43.712334,-79.462585,73,1518751106646
52,43.700401,-79.531281,74,1518751096646
52,43.698368,-79.52298,255,1518751099646
52,43.694633,-79.5578,252,1518751101646
52,43.7254829,-79.402283,216,1518751102646
52,43.709099,-79.477501,254,1518751098646
52,43.6973,-79.546333,250,1518751100646
52,43.6867329,-79.592735,85,1518751110646
52,43.715515,-79.448753,254,1518751108646
52,43.71595,-79.444519,74,1518751108646
52,43.700466,-79.514702,72,1518751100646
52,43.708569,-79.648613,312,1518751091646
52,43.687134,-79.621117,157,1518751091646
52,43.714184,-79.454483,211,1518751109646
52,43.7151489,-79.449249,254,1518751108646
52,43.715832,-79.445084,74,1518751108646
52,43.721832,-79.640564,211,1518751110646
52,43.7019,-79.50843,72,1518751098646
52,43.683582,-79.565865,216,1518751108646
52,43.715618,-79.443832,73,1518751107646
52,43.692101,-79.627014,134,1518751093646
53,43.82045,-79.320564,72,1518751104265
53,43.832199,-79.2704849,252,1518751089265
53,43.840885,-79.232353,58,1518751101265
53,43.798752,-79.416664,69,1518751103265
53,43.83395,-79.262115,73,1518751103265
53,43.816666,-79.336884,71,1518751101265
53,43.8022,-79.400986,73,1518751102265
53,43.794285,-79.243187,-4,1518751105265
53,43.8018,-79.403351,253,1518751103265
53,43.781567,-79.4153819,264,1518751101265
53,43.785351,-79.417084,171,1518751101265
53,43.781334,-79.414902,163,1518751102265
53,43.807598,-79.376266,73,1518751104265
53,43.7933499,-79.243134,-4,1518751094265
53,43.783401,-79.287483,-4,1518751100265
53,43.821533,-79.316933,252,1518751105265
53,43.821518,-79.316948,252,1518751099265
53,43.830784,-79.250114,-4,1518751089265
53,43.819698,-79.221848,216,1518751103265
54,43.756783,-79.24028,253,1518751092009
54,43.757534,-79.235733,74,1518751092009
54,43.713051,-79.367653,254,1518751110009
54,43.741451,-79.313881,88,1518751108009
54,43.759617,-79.225784,73,1518751099009
54,43.769318,-79.182632,252,1518751098009
54,43.759666,-79.2257,73,1518751092009
54,43.720833,-79.29097,-4,1518751089009
54,43.705284,-79.398735,216,1518751109009
54,43.7418819,-79.310234,84,1518751108009
54,43.707516,-79.3951189,255,1518751108009
54,43.788799,-79.12307,177,1518751099009
54,43.749382,-79.275215,75,1518751099009
54,43.750149,-79.270386,194,1518751110009
54,43.714401,-79.360451,74,1518751109009
54,43.706833,-79.398514,76,1518751109009
54,43.753216,-79.25737,251,1518751099009
54,43.714832,-79.359352,255,1518751111009
54,43.750282,-79.270416,354,1518751090009
54,43.771282,-79.209999,216,1518751092009
55,43.655251,-79.486847,344,1518751087931
56,43.709885,-79.3826519,74,1518751104191
56,43.709766,-79.383965,254,1518751100191
57,43.794918,-79.243919,-4,1518751105901
57,43.808083,-79.2891999,341,1518751108901
57,43.742432,-79.261353,343,1518751096901
57,43.732716,-79.2631,147,1518751096901
57,43.814785,-79.292419,161,1518751107901
57,43.763432,-79.269684,164,1518751113901
59,43.704102,-79.47023,345,1518751084908
59,43.710682,-79.4984659,253,1518751085908
60,43.792732,-79.443901,70,1518751099492
60,43.777199,-79.5098189,113,1518751091492
60,43.796082,-79.429535,251,1518751101492
60,43.764568,-79.574516,252,1518751097492
60,43.780582,-79.4149319,216,1518751103492
60,43.779934,-79.415169,280,1518751104492
60,43.78735,-79.470314,252,1518751101492
60,43.7951849,-79.419502,169,1518751103492
60,43.7773169,-79.508514,350,1518751097492
61,43.725468,-79.417015,164,1518751103295
61,43.741333,-79.42215,340,1518751091295
62,43.690083,-79.302681,342,1518751098930
62,43.684834,-79.352081,75,1518751097930
63,43.697418,-79.4424669,252,1518751104064
63,43.668667,-79.428467,343,1518751109064
63,43.646015,-79.438736,-4,1518751096064
63,43.638668,-79.417,277,1518751095064
63,43.679134,-79.435684,344,1518751094064
63,43.656532,-79.423485,345,1518751098064
63,43.677052,-79.43483,164,1518751094064
63,43.662518,-79.425949,90,1518751096064
63,43.641632,-79.415154,162,1518751095064
63,43.6924319,-79.440567,343,1518751097064
63,43.662384,-79.426498,57,1518751097064
64,43.6758,-79.296852,168,1518751101227
65,43.666134,-79.368797,163,1518751096045
65,43.655434,-79.364304,343,1518751095045
66,43.630085,-79.476418,112,1518751091045
66,43.635284,-79.499802,162,1518751094045
66,43.646717,-79.504585,342,1518751106045
67,43.694065,-79.288567,216,1518751093000
67,43.763401,-79.31208,164,1518751098000
68,43.894535,-79.337418,216,1518751108824
68,43.725315,-79.286766,164,1518751104824
68,43.729599,-79.288185,343,1518751096824
68,43.820084,-79.324715,176,1518751108824
68,43.796383,-79.315536,349,1518751106824
69,43.6997829,-79.265083,344,1518751085109
69,43.693184,-79.2624359,163,1518751084109
70,43.722599,-79.301918,334,1518751096479
70,43.690434,-79.326447,344,1518751103479
71,43.6741979,-79.488182,343,1518751099240
71,43.651718,-79.475967,216,1518751091240
71,43.682766,-79.490585,252,1518751096240
72,43.6483,-79.3454129,60,1518751103560
72,43.6488,-79.358482,245,1518751101560
72,43.6753349,-79.343452,164,1518751107560
72,43.660267,-79.339714,343,1518751107560
72,43.675232,-79.3433529,343,1518751104560
73,43.615849,-79.529297,-4,1518751105746
73,43.746632,-79.620834,104,1518751110746
73,43.746117,-79.617332,284,1518751115746
73,43.681767,-79.52655,172,1518751103746
73,43.709549,-79.534348,311,1518751115746
73,43.709915,-79.5347139,160,1518751113746
73,43.675415,-79.5236819,163,1518751107746
73,43.738033,-79.570297,102,1518751096746
73,43.648117,-79.511581,216,1518751105746
74,43.717365,-79.393814,340,1518751098557
75,43.674183,-79.377563,166,1518751098489
75,43.648998,-79.367416,64,1518751092489
76,43.619766,-79.496803,252,1518751097661
76,43.613766,-79.489883,216,1518751116661
76,43.614765,-79.497887,168,1518751098661
76,43.647018,-79.511269,216,1518751102661
77,43.651882,-79.475487,216,1518751106490
78,43.759701,-79.396416,242,1518751098753
79,43.700565,-79.507751,342,1518751090609
79,43.682384,-79.510048,329,1518751089609
79,43.6569519,-79.47863,343,1518751095609
79,43.670467,-79.488548,73,1518751090609
80,43.630032,-79.485664,73,1518751107699
80,43.625168,-79.508217,253,1518751098699
81,43.693367,-79.350449,164,1518751097930
81,43.687584,-79.348099,344,1518751097930
82,43.67675,-79.388947,216,1518751092660
83,43.659966,-79.32872,348,1518751092423
84,43.749882,-79.462402,216,1518751106378
84,43.744617,-79.486732,109,1518751116378
84,43.751865,-79.456451,254,1518751111378
84,43.734749,-79.533249,77,1518751111378
84,43.739151,-79.5387499,216,1518751097378
84,43.762001,-79.41217,86,1518751114378
84,43.738285,-79.518517,252,1518751114378
84,43.758282,-79.425316,74,1518751113378
84,43.755798,-79.436363,73,1518751093378
85,43.786751,-79.27198,73,1518751094755
85,43.776016,-79.343918,78,1518751100755
85,43.761982,-79.412148,216,1518751103755
85,43.8010329,-79.150764,299,1518751106755
85,43.806385,-79.180496,254,1518751093755
85,43.775932,-79.3469159,307,1518751097755
85,43.775215,-79.323715,245,1518751100755
85,43.808315,-79.171204,72,1518751094755
85,43.780418,-79.300484,72,1518751100755
85,43.5,-79.0,-4,1518751100755
85,43.80175,-79.200737,74,1518751093755
85,43.780384,-79.3012849,252,1518751105755
85,43.787498,-79.269264,252,1518751106755
85,43.7940479,-79.238503,257,1518751106755
85,43.7906,-79.135765,164,1518751094755
85,43.775635,-79.346313,81,1518751106755
86,43.802418,-79.167564,336,1518751098627
86,43.739368,-79.235603,73,1518751105627
86,43.744366,-79.213585,282,1518751117627
86,43.732468,-79.263435,259,1518751098627
86,43.773701,-79.183685,49,1518751110627
86,43.732235,-79.264236,216,1518751106627
86,43.808468,-79.170982,216,1518751117627
87,43.695217,-79.303299,73,1518751090550
87,43.6768,-79.3583529,234,1518751090550
87,43.690582,-79.342865,256,1518751091550
87,43.691952,-79.3023149,72,1518751090550
88,43.687752,-79.392563,216,1518751100849
88,43.702435,-79.364883,21,1518751100849
88,43.702084,-79.354866,268,1518751111849
89,43.693184,-79.504463,318,1518751094472
89,43.676285,-79.470596,317,1518751097472
89,43.6913989,-79.501335,120,1518751088472
89,43.672749,-79.467751,166,1518751094472
89,43.655617,-79.459198,166,1518751096472
89,43.710918,-79.534798,333,1518751093472
90,43.683235,-79.418068,257,1518751114117
90,43.689968,-79.435883,126,1518751113117
91,43.705265,-79.312851,28,1518751128084
91,43.688232,-79.313934,161,1518751119084
91,43.757118,-79.341187,250,1518751125084
92,43.6686819,-79.305885,164,1518751113878
92,43.6865499,-79.3123169,92,1518751113878
93,43.6939319,-79.316414,163,1518751126703
94,43.662498,-79.405014,254,1518751138195
94,43.6655159,-79.3835299,177,1518751125195
94,43.673283,-79.369469,53,1518751132195
94,43.666248,-79.378769,253,1518751136195
94,43.661751,-79.4086,75,1518751125195
95,43.748783,-79.382668,54,1518751121309
95,43.745449,-79.406097,216,1518751121309
95,43.794899,-79.154297,345,1518751118309
95,43.776615,-79.2315519,253,1518751127309
95,43.765598,-79.281487,72,1518751119309
95,43.764999,-79.284134,72,1518751128309
95,43.754734,-79.352615,253,1518751123309
95,43.76815,-79.270836,253,1518751124309
95,43.745934,-79.394585,253,1518751122309
95,43.7589,-79.310463,71,1518751123309
95,43.782784,-79.204819,252,1518751121309
95,43.758118,-79.314751,234,1518751121309
96,43.724182,-79.554718,252,1518751118077
96,43.726151,-79.586769,161,1518751137077
96,43.747349,-79.622482,216,1518751134077
96,43.745651,-79.614334,188,1518751133077
96,43.743935,-79.407051,51,1518751135077
96,43.720783,-79.508965,94,1518751135077
96,43.732399,-79.586067,109,1518751117077
96,43.734432,-79.451019,305,1518751134077
96,43.750851,-79.6142349,216,1518751117077
96,43.745251,-79.4057009,280,1518751134077
96,43.72905,-79.474297,252,1518751133077
96,43.736534,-79.438515,254,1518751134077
96,43.719467,-79.515747,253,1518751117077
96,43.723766,-79.556396,252,1518751119077
97,43.766865,-79.412468,171,1518751127030
97,43.697201,-79.396599,291,1518751121030
97,43.745182,-79.406281,-4,1518751126030
97,43.748249,-79.407532,347,1518751126030
98,43.759548,-79.422836,344,1518751117567
98,43.761967,-79.408501,73,1518751117567
99,43.741417,-79.530647,350,1518751130056
100,43.676968,-79.35817,216,1518751132012
100,43.720749,-79.3282849,193,1518751125012
100,43.723148,-79.338348,255,1518751125012
100,43.7179829,-79.331169,337,1518751124012
100,43.7048,-79.349884,38,1518751132012
100,43.696983,-79.349403,209,1518751130012
101,43.7487489,-79.4599,-4,1518751108503
102,43.760067,-79.2255629,192,1518751152819
102,43.747665,-79.220718,343,1518751160819
102,43.7202,-79.245064,253,1518751157819
102,43.781582,-79.23362,345,1518751149819
102,43.798416,-79.240852,316,1518751149819
102,43.837002,-79.250053,-4,1518751149819
102,43.711018,-79.279587,175,1518751156819
102,43.722466,-79.235298,43,1518751142819
102,43.855568,-79.25563,174,1518751158819
102,43.908367,-79.273331,73,1518751141819
102,43.77795,-79.232437,164,1518751157819
102,43.773682,-79.23082,164,1518751149819
102,43.721916,-79.236183,67,1518751142819
102,43.794235,-79.2392349,160,1518751160819
102,43.716702,-79.261047,253,1518751147819
102,43.807583,-79.24382,5,1518751157819
104,43.748367,-79.461784,216,1518751143490
104,43.768883,-79.466881,253,1518751143490
105,43.765617,-79.466331,170,1518751145532
106,43.755615,-79.473816,264,1518751148695
